ID,Name,Full Name,Alter Egos,Publisher,Alignment,Gender,Race,Height,Weight,Intelligence,Strength,Speed,Durability,Power,Combat
573,Sasquatch,Walter Langkowski,No alter egos found.,Marvel Comics,good,Male,null,10' // 305 cm,2000 lb // 900 kg,75,80,23,56,15,42
574,Sauron,Sauron,No alter egos found.,J. R. R. Tolkien,bad,Male,Maiar,9'2 // 279 cm,- lb // 0 kg,88,85,33,100,100,70
575,Savage Dragon,Kurr,No alter egos found.,Image Comics,good,Male,null,- // 0 cm,- lb // 0 kg,63,70,54,85,66,72
576,Scarecrow,Jonathan Crane,No alter egos found.,DC Comics,bad,Male,Human,6'0 // 183 cm,140 lb // 63 kg,81,10,12,14,48,50
577,Scarlet Spider,Benjamin Reilly,Spider-Carnage,Spider-Carnage,good,Male,Human,5'10' // 178 cm,165 lb // 74 kg,75,53,60,74,46,56
578,Scarlet Spider II,Kaine Parker,No alter egos found.,Marvel Comics,good,Male,Clone,6'4 // 193 cm,250 lb // 113 kg,88,55,60,40,37,56
579,Scarlet Witch,Wanda Maximoff,No alter egos found.,Marvel Comics,bad,Female,Mutant,5'7 // 170 cm,132 lb // 59 kg,100,10,29,70,100,80
580,Scorpia,Elaine Coll,No alter egos found.,Marvel Comics,bad,Female,null,- // 0 cm,- lb // 0 kg,38,28,42,28,34,28
581,Scorpion,MacDonald Gargan,Venom III,Venom III,bad,Male,Human,6'11 // 211 cm,689 lb // 310 kg,50,52,60,85,49,80
582,Sebastian Shaw,Sebastian Hiram Shaw,No alter egos found.,Marvel Comics,bad,Male,Mutant,- // 0 cm,- lb // 0 kg,63,85,12,95,36,56
583,Sentry,Robert Reynolds,No alter egos found.,Marvel Comics,neutral,Male,Mutant,6'2 // 188 cm,194 lb // 87 kg,75,100,100,84,100,40
584,Shadow King,Amahl Farouk,No alter egos found.,Marvel Comics,good,-,null,6'1 // 185 cm,330 lb // 149 kg,75,12,27,100,100,75
585,Shadow Lass,Tasmia Mallor,No alter egos found.,DC Comics,good,Female,Talokite,5'8 // 173 cm,120 lb // 54 kg,63,10,67,20,79,80
586,Shadowcat,Kitty Pryde,No alter egos found.,Marvel Comics,good,Female,Mutant,5'6 // 168 cm,110 lb // 50 kg,88,8,21,25,69,70
587,Shang-Chi,Shang-Chi,No alter egos found.,Marvel Comics,good,Male,Human,5'10 // 178 cm,175 lb // 79 kg,63,12,30,50,29,100
588,Shatterstar,Gaveedra Seven,No alter egos found.,Marvel Comics,good,Male,null,6'3 // 191 cm,195 lb // 88 kg,63,48,45,64,49,84
589,She-Hulk,Jennifer Walters,No alter egos found.,Marvel Comics,good,Female,Human,6'7 // 201 cm,700 lb // 315 kg,81,100,42,100,40,70
590,She-Thing,Sharon Ventura,Ms Marvel II,Ms Marvel II,good,Female,Human / Radiation,6'0 // 183 cm,340 lb // 153 kg,69,72,21,80,23,65
591,Shocker,Herman Schultz,No alter egos found.,Marvel Comics,bad,Male,Human,5'9 // 175 cm,175 lb // 79 kg,63,10,23,70,79,56
592,Shriek,Frances Louise Barrison,No alter egos found.,Marvel Comics,good,Female,null,5'8 // 173 cm,115 lb // 52 kg,50,10,23,28,45,42
593,Shrinking Violet,,No alter egos found.,DC Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
594,Sif,Sif,No alter egos found.,Marvel Comics,good,Female,Asgardian,6'2 // 188 cm,425 lb // 191 kg,63,90,67,80,100,70
595,Silk,Cindy Moon,No alter egos found.,Marvel Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,75,48,71,70,71,65
596,Silk Spectre,Sally Juspeczyk,No alter egos found.,DC Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
597,Silk Spectre II,Laurie Juspeczyk,No alter egos found.,DC Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,51,null,null,null,null
598,Silver Surfer,Norrin Radd,No alter egos found.,Marvel Comics,good,Male,Alien,6'4 // 193 cm,225 lb // 101 kg,56,100,100,90,100,32
599,Silverclaw,Maria de Guadalupe Santiago,No alter egos found.,Marvel Comics,good,Female,null,5'2 // 157 cm,110 lb // 50 kg,50,28,35,42,34,42
600,Simon Baz,Simoon Baz,No alter egos found.,DC Comics,good,Male,Human,- // 0 cm,- lb // 0 kg,56,90,42,55,100,60
601,Sinestro,Thaal Sinestro,No alter egos found.,DC Comics,neutral,Male,Korugaran,6'7 // 201 cm,205 lb // 92 kg,75,85,53,64,100,55
602,Siren,Hila,No alter egos found.,DC Comics,bad,Female,Atlantean,5'9 // 175 cm,160 lb // 72 kg,56,62,79,60,92,60
603,Siren II,La Sirene la Bailene,No alter egos found.,DC Comics,bad,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
604,Siryn,Theresa Rourke Cassidy,No alter egos found.,Marvel Comics,bad,Female,null,5'6 // 168 cm,115 lb // 52 kg,38,8,47,28,50,42
605,Skaar,,No alter egos found.,Marvel Comics,good,Male,null,6'6 // 198 cm,400 lb // 180 kg,50,85,27,90,69,85
606,Snake-Eyes,,No alter egos found.,Marvel Comics,bad,Male,Animal,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
607,Snowbird,Narya,No alter egos found.,Marvel Comics,good,Female,null,5'10' // 178 cm,108 lb // 49 kg,50,32,27,42,70,52
608,Sobek,Yurrd the Unknown,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,50,34,23,46,20,56
609,Solomon Grundy,Cyrus Gold,No alter egos found.,DC Comics,bad,Male,Zombie,9'2 // 279 cm,971 lb // 437 kg,9,93,13,100,92,30
610,Songbird,Melissa Joan Gold,No alter egos found.,Marvel Comics,good,Female,null,5'5 // 165 cm,145 lb // 65 kg,75,36,27,42,55,56
611,Space Ghost,Thaddeus Bach,No alter egos found.,DC Comics,good,Male,Human,6'2 // 188 cm,250 lb // 113 kg,38,18,33,40,95,80
612,Spawn,Al Simmons,No alter egos found.,Image Comics,good,Male,Demon,6'11 // 211 cm,900 lb // 405 kg,75,60,50,90,100,95
613,Spectre,Aztar,Aztar,Aztar,good,Male,God / Eternal,- // 0 cm,- lb // 0 kg,88,100,100,100,100,70
614,Speedball,Robert Baldwin,Penance II,Penance II,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
615,Speedy,Thea Queen,No alter egos found.,DC Comics,good,Female,Human,- // 0 cm,- lb // 0 kg,50,6,33,20,26,70
616,Speedy,"Roy William Harper, Jr.",Arsenal,Arsenal,good,Male,Human,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
617,Spider-Carnage,Benjamin Reilly,Scarlet Spider,Scarlet Spider,bad,Male,Symbiote,- // 0 cm,- lb // 0 kg,null,69,null,null,null,null
618,Spider-Girl,May 'Mayday' Parker,No alter egos found.,Marvel Comics,good,Female,Human,5'7 // 170 cm,119 lb // 54 kg,63,38,60,65,53,75
619,Spider-Gwen,Gwen Stacy,No alter egos found.,Marvel Comics,good,Female,Human,5'5 // 165 cm,125 lb // 56 kg,75,55,63,70,66,70
620,Spider-Man,Peter Parker,No alter egos found.,Marvel Comics,good,Male,Human,5'10 // 178 cm,165 lb // 74 kg,90,55,67,75,74,85
621,Spider-Man,Miguel O'Hara,No alter egos found.,Marvel Comics,good,-,Human,5'10 // 178 cm,170 lb // 77 kg,null,57,null,null,null,null
622,Spider-Man,Miles Morales,No alter egos found.,Marvel Comics,good,Male,Human,5'2 // 157 cm,125 lb // 56 kg,null,58,null,null,null,null
623,Spider-Woman,Jessica Drew,No alter egos found.,Marvel Comics,good,Female,Human,5'10 // 178 cm,130 lb // 59 kg,56,42,42,60,68,70
624,Spider-Woman II,,No alter egos found.,Marvel Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
625,Spider-Woman III,Martha Franklin,No alter egos found.,Marvel Comics,good,Female,null,5'8 // 173 cm,123 lb // 55 kg,50,48,27,42,60,28
626,Spider-Woman IV,Charlotte Witter,No alter egos found.,Marvel Comics,bad,Female,null,5'10 // 178 cm,128 lb // 58 kg,null,null,null,null,null,null
627,Spock,S'chn T'gai Spock,No alter egos found.,Star Trek,good,Male,Human-Vulcan,6'1 // 185 cm,180 lb // 81 kg,81,18,17,40,56,40
628,Spyke,Evan Daniels,No alter egos found.,Marvel Comics,good,Male,Mutant,6'0 // 183 cm,185 lb // 83 kg,50,12,17,60,48,30
629,Stacy X,,No alter egos found.,Marvel Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
630,Star-Lord,Peter Jason Quill,No alter egos found.,Marvel Comics,good,Male,Human-Spartoi,6'2 // 188 cm,175 lb // 79 kg,69,20,33,50,25,70
631,Stardust,,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,88,85,100,110,100,85
632,Starfire,Koriand'r,No alter egos found.,DC Comics,good,Female,Tamaranean,6'4 // 193 cm,158 lb // 71 kg,50,80,33,85,59,70
633,Stargirl,Courtney Whitmore,No alter egos found.,DC Comics,good,Female,Human,5'5 // 165 cm,137 lb // 62 kg,63,80,25,90,87,55
634,Static,Virgil Hawkins,No alter egos found.,DC Comics,good,Male,Mutant,5'7 // 170 cm,140 lb // 63 kg,69,8,42,50,90,40
635,Steel,John Henry Irons,No alter egos found.,DC Comics,good,Male,null,6'7 // 201 cm,290 lb // 131 kg,81,82,53,90,64,64
636,Stephanie Powell,Stephanie Powell,No alter egos found.,ABC Studios,good,Female,null,- // 0 cm,- lb // 0 kg,69,10,54,10,24,10
637,Steppenwolf,,No alter egos found.,DC Comics,bad,Male,New God,6'0 // 183 cm,203 lb // 91 kg,94,100,83,100,100,100
638,Storm,Ororo Munroe,No alter egos found.,Marvel Comics,good,Female,Mutant,5'11 // 180 cm,127 lb // 57 kg,75,10,47,30,88,75
639,Stormtrooper,,No alter egos found.,George Lucas,bad,Male,Human,6'0 // 183 cm,- lb // 0 kg,10,8,8,15,5,20
640,Sunspot,Roberto DaCosta,No alter egos found.,Marvel Comics,good,Male,Mutant,5'8 // 173 cm,170 lb // 77 kg,63,63,35,25,90,70
641,Superboy,Kon-El / Conner Kent,No alter egos found.,DC Comics,good,Male,null,5'7 // 170 cm,150 lb // 68 kg,75,95,83,90,95,60
642,Superboy-Prime,Kal-El,No alter egos found.,DC Comics,bad,Male,Kryptonian,5'11 // 180 cm,170 lb // 77 kg,94,100,100,100,100,85
643,Supergirl,Kara Zor-El,No alter egos found.,DC Comics,good,Female,Kryptonian,5'5 // 165 cm,120 lb // 54 kg,94,100,100,100,100,75
644,Superman,Clark Kent,Superman Prime One-Million,Superman Prime One-Million,good,Male,Kryptonian,6'3 // 191 cm,225 lb // 101 kg,94,100,100,100,100,85
645,Swamp Thing,Alec Holland,No alter egos found.,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,88,95,25,100,100,55
646,Swarm,Fritz von Meyer,No alter egos found.,Marvel Comics,bad,Male,Mutant,6'5 // 196 cm,104 lb // 47 kg,75,18,50,90,38,35
647,Sylar,Gabriel Gray,No alter egos found.,NBC - Heroes,bad,Male,null,- // 0 cm,- lb // 0 kg,75,10,12,28,91,56
648,Synch,Everett Thomas,No alter egos found.,Marvel Comics,good,Male,null,5'11 // 180 cm,165 lb // 74 kg,75,67,23,28,74,56
649,T-1000,Cyberdyne Systems Series 1000 Terminator,No alter egos found.,Dark Horse Comics,bad,Male,Android,6'0 // 183 cm,325 lb // 146 kg,75,34,33,100,100,75
650,T-800,Cyberdyne Systems Series 800 Terminator Model 101,No alter egos found.,Dark Horse Comics,bad,Male,Cyborg,- // 0 cm,390 lb // 176 kg,75,34,17,60,73,65
651,T-850,Cyberdyne Systems Series 850 Terminator,No alter egos found.,Dark Horse Comics,bad,Male,Cyborg,- // 0 cm,440 lb // 198 kg,75,80,25,90,83,75
652,T-X,Cyberdyne Systems Series X Terminator,No alter egos found.,Dark Horse Comics,bad,Female,Cyborg,- // 0 cm,330 lb // 149 kg,75,63,29,85,100,80
653,Taskmaster,Tony Masters,No alter egos found.,Marvel Comics,bad,Male,Human,6'2 // 188 cm,220 lb // 99 kg,75,12,50,20,63,100
654,Tempest,Angel Salvadore Bohusk,Angel Salvadore,Angel Salvadore,good,Female,null,5'4 // 163 cm,121 lb // 54 kg,38,10,45,28,66,60
655,Thanos,Thanos,No alter egos found.,Marvel Comics,bad,Male,Eternal,6'7 // 201 cm,985 lb // 443 kg,100,100,33,100,100,80
656,The Cape,Vince Faraday,No alter egos found.,null,good,Male,null,- // 0 cm,- lb // 0 kg,38,10,23,32,22,64
657,The Comedian,Edward Morgen Blake,No alter egos found.,DC Comics,neutral,Male,Human,6'2 // 188 cm,225 lb // 101 kg,63,14,17,10,12,80
658,Thing,Ben Grimm,No alter egos found.,Marvel Comics,good,Male,Human / Radiation,6'0 // 183 cm,500 lb // 225 kg,75,84,21,100,38,80
659,Thor,Thor Odinson,Rune King Thor,Rune King Thor,good,Male,Asgardian,6'6 // 198 cm,640 lb // 288 kg,69,100,83,100,100,100
660,Thor Girl,Tarene,No alter egos found.,Marvel Comics,good,Female,Asgardian,5'9 // 175 cm,317 lb // 143 kg,75,83,70,84,100,70
661,Thunderbird,John Proudstar,No alter egos found.,Marvel Comics,good,Male,null,6'1 // 185 cm,225 lb // 101 kg,50,32,27,32,13,70
662,Thunderbird II,James Proudstar,Warpath,Warpath,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
663,Thunderbird III,Neal Shaara,No alter egos found.,Marvel Comics,good,Male,null,5'9' // 175 cm,165 lb // 74 kg,null,null,null,null,null,null
664,Thunderstrike,Eric Kevin Masterson,No alter egos found.,Marvel Comics,good,Male,null,6'6 // 198 cm,640 lb // 288 kg,63,80,70,84,42,72
665,Thundra,Thundra,No alter egos found.,Marvel Comics,good,Female,null,7'2 // 218 cm,350 lb // 158 kg,38,81,32,64,26,54
666,Tiger Shark,Todd Arliss,No alter egos found.,Marvel Comics,bad,Male,Human,6'1 // 185 cm,450 lb // 203 kg,38,72,46,70,51,28
667,Tigra,Greer Grant Nelson,No alter egos found.,Marvel Comics,good,Female,null,5'10 // 178 cm,180 lb // 81 kg,63,32,53,38,33,90
668,Tinkerer,Phineas Mason,No alter egos found.,Marvel Comics,bad,Male,null,5'4 // 163 cm,120 lb // 54 kg,100,10,23,14,10,14
669,Titan,,No alter egos found.,HarperCollins,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
670,Toad,Mortimer Toynbee,No alter egos found.,Marvel Comics,neutral,Male,Mutant,5'9 // 175 cm,169 lb // 76 kg,50,34,58,56,70,28
671,Toxin,Patrick Mulligan,No alter egos found.,Marvel Comics,good,Male,Symbiote,6'2 // 188 cm,215 lb // 97 kg,56,73,70,84,82,70
672,Toxin,Eddie Brock,"Anti-Venom, Venom",Anti-Venom,good,Male,Symbiote,6'3 // 191 cm,260 lb // 117 kg,75,80,42,85,97,70
673,Tracy Strauss,Tracy Strauss,No alter egos found.,NBC - Heroes,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
674,Trickster,Giovanni Giuseppe,No alter egos found.,DC Comics,-,Male,Human,6'0 // 183 cm,179 lb // 81 kg,null,null,null,null,null,null
675,Trigon,,No alter egos found.,DC Comics,bad,Male,God / Eternal,- // 0 cm,- lb // 0 kg,null,99,null,null,null,null
676,Triplicate Girl,Luornu Durgo,No alter egos found.,DC Comics,good,Female,null,5'6 // 168 cm,130 lb // 59 kg,63,10,23,42,44,42
677,Triton,Triton,No alter egos found.,Marvel Comics,good,Male,Inhuman,6'2 // 188 cm,190 lb // 86 kg,56,63,50,65,35,55
678,Two-Face,Harvey Dent,No alter egos found.,DC Comics,bad,Male,null,6'0 // 183 cm,182 lb // 82 kg,88,10,12,14,9,28
679,Ultragirl,Tsu-Zana,No alter egos found.,Marvel Comics,good,Female,null,5'6 // 168 cm,233 lb // 105 kg,50,80,35,70,35,80
680,Ultron,Ultron,No alter egos found.,Marvel Comics,bad,Male,Android,6'9 // 206 cm,735 lb // 331 kg,88,83,42,100,100,64
681,Utgard-Loki,,No alter egos found.,Marvel Comics,bad,Male,Frost Giant,50'0 // 15.2 meters,128000 lb // 58 tons,50,80,23,84,85,64
682,Vagabond,Priscilla Lyons,No alter egos found.,Marvel Comics,good,Female,null,5'6' // 168 cm,120 lb // 54 kg,null,null,null,null,null,null
683,Valerie Hart,,No alter egos found.,Team Epic TV,good,Female,null,5'9 // 175 cm,125 lb // 56 kg,null,null,null,null,null,null
684,Valkyrie,Brunnhilde (also spelled Brunnhilda),No alter egos found.,Marvel Comics,good,Female,null,6'3' // 191 cm,475 lb // 214 kg,null,94,null,null,null,null
685,Vanisher,,No alter egos found.,Marvel Comics,bad,Male,null,5'5 // 165 cm,175 lb // 79 kg,63,10,75,56,61,42
686,Vegeta,Vegeta,No alter egos found.,Shueisha,bad,Male,Saiyan,5'6 // 168 cm,163 lb // 73 kg,81,100,92,95,100,100
687,Venom,Eddie Brock,"Anti-Venom, Toxin",Anti-Venom,bad,Male,Symbiote,6'3 // 191 cm,260 lb // 117 kg,75,57,65,84,86,84
688,Venom II,Angelo Fortunato,No alter egos found.,Marvel Comics,bad,Male,null,5'9 // 175 cm,110 lb // 50 kg,50,57,47,70,54,56
689,Venom III,MacDonald Gargan,Scorpion,Scorpion,bad,Male,Symbiote,7'6 // 229 cm,742 lb // 334 kg,63,73,35,90,73,56
690,Venompool,Wade Wilson,"Deadpool, Evil Deadpool",Deadpool,-,Male,Symbiote,7'5 // 226 cm,- lb // 0 kg,69,57,63,100,100,100
691,Vertigo II,-,Blaquesmith,Blaquesmith,good,Female,null,5'6' // 168 cm,115 lb // 52 kg,null,null,null,null,null,null
692,Vibe,Cisco Ramon,No alter egos found.,DC Comics,good,Male,Human,5'10 // 178 cm,157 lb // 71 kg,50,10,17,30,99,30
693,Vindicator,Heather Hudson,Vindicator II,Vindicator II,good,Female,Human,5'5 // 165 cm,120 lb // 54 kg,63,63,53,64,58,70
694,Vindicator,Dr. James McDonald Hudson,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
695,Violator,,No alter egos found.,Image Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,53,null,null,null,null
696,Violet Parr,Violet Parr,No alter egos found.,Dark Horse Comics,good,Female,Human,4'6 // 137 cm,90 lb // 41 kg,56,9,13,50,79,15
697,Vision,Vision,"Anti-Vision, Vision II",Anti-Vision,good,Male,Android,6'3 // 191 cm,300 lb // 135 kg,100,72,54,95,100,70
698,Vision II,Vision,"Anti-Vision, Vision",Anti-Vision,good,-,null,6'3' // 191 cm,300 lb // 135 kg,null,null,null,null,null,null
699,Vixen,Mari McCabe,No alter egos found.,DC Comics,good,Female,Human,5'9 // 175 cm,140 lb // 63 kg,50,38,50,50,62,25
700,Vulcan,Gabriel Summers,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,null,56,null,null,null,null
701,Vulture,Adrian Toomes,No alter egos found.,Marvel Comics,bad,Male,Human,5'11 // 180 cm,175 lb // 79 kg,75,22,42,25,26,30
702,Walrus,Hubert Carpent,No alter egos found.,Marvel Comics,bad,Male,Human,6'0 // 183 cm,360 lb // 162 kg,50,28,8,50,11,20
703,War Machine,James Rupert Rhodes,No alter egos found.,Marvel Comics,good,Male,Human,6'1 // 185 cm,210 lb // 95 kg,63,80,63,100,100,85
704,Warbird,Carol Danvers,"Binary, Captain Marvel",Binary,good,Female,null,5'11' // 180 cm,120 lb // 54 kg,null,null,null,null,null,null
705,Warlock,Adam Warlock,No alter egos found.,Marvel Comics,good,Male,null,6'2' // 188 cm,240 lb // 108 kg,88,36,79,95,71,95
706,Warp,Emil LaSalle,No alter egos found.,DC Comics,bad,Male,null,5'8 // 173 cm,148 lb // 67 kg,38,10,23,28,85,50
707,Warpath,James Proudstar,Thunderbird II,Thunderbird II,good,Male,Mutant,7'2 // 218 cm,350 lb // 158 kg,38,72,47,70,26,84
708,Wasp,Janet Van Dyne,No alter egos found.,Marvel Comics,good,Female,Human,5'4 // 163 cm,110 lb // 50 kg,63,17,58,52,29,42
709,Watcher,Uatu,No alter egos found.,Marvel Comics,good,Male,null,- // 0 cm,- lb // 0 kg,100,80,67,89,100,56
710,Weapon XI,Weapon XI,No alter egos found.,Marvel Comics,bad,Male,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
711,White Canary,,No alter egos found.,DC Comics,bad,Female,Human,- // 0 cm,- lb // 0 kg,63,7,33,15,49,90
712,White Queen,Emma Grace Frost,No alter egos found.,Marvel Comics,good,Female,null,5'10' // 178 cm,144 lb // 65 kg,null,null,null,null,null,null
713,Wildfire,Drake Burroughs,No alter egos found.,DC Comics,good,Male,null,- // 0 cm,- lb // 0 kg,50,32,23,100,77,42
714,Winter Soldier,Bucky Barnes,No alter egos found.,Marvel Comics,good,Male,Human,5'9 // 175 cm,260 lb // 117 kg,56,32,35,65,60,84
715,Wiz Kid,Takashi Matsuya,No alter egos found.,Marvel Comics,good,-,null,4'7' // 140 cm,87 lb // 39 kg,null,null,null,null,null,null
716,Wolfsbane,Rahne Sinclair,No alter egos found.,Marvel Comics,good,Female,null,12' // 366 cm,1050 lb // 473 kg,38,16,35,42,26,42
717,Wolverine,Logan,No alter egos found.,Marvel Comics,good,Male,Mutant,5'3 // 160 cm,300 lb // 135 kg,63,32,50,100,89,100
718,Wonder Girl,Cassandra Elizabeth Sandsmark,No alter egos found.,DC Comics,good,Female,Demi-God,5'5 // 165 cm,114 lb // 51 kg,75,90,25,80,39,60
719,Wonder Man,Simon Williams,No alter egos found.,Marvel Comics,good,Male,null,6'2 // 188 cm,380 lb // 171 kg,75,100,53,90,64,64
720,Wonder Woman,Diana Prince,No alter egos found.,DC Comics,good,Female,Amazon,6'0 // 183 cm,165 lb // 74 kg,88,100,79,100,100,100
721,Wondra,,No alter egos found.,Marvel Comics,good,Female,null,- // 0 cm,- lb // 0 kg,null,null,null,null,null,null
722,Wyatt Wingfoot,Wyatt Wingfoot,No alter egos found.,Marvel Comics,good,Male,null,6'5' // 196 cm,260 lb // 117 kg,10,10,12,1,1,56
723,X-23,Laura Kinney,No alter egos found.,Marvel Comics,good,Female,Mutant / Clone,5'1 // 155 cm,110 lb // 50 kg,75,24,42,100,55,95
724,X-Man,Nate Grey,No alter egos found.,Marvel Comics,good,Male,null,5'9 // 175 cm,135 lb // 61 kg,88,53,53,95,100,84
725,Yellow Claw,,No alter egos found.,Marvel Comics,bad,Male,null,6'2 // 188 cm,210 lb // 95 kg,null,null,null,null,null,null
726,Yellowjacket,Hank Pym,"Ant-Man, Giant-Man, Goliath, Wasp II",Ant-Man,good,Male,Human,6' // 183 cm,185 lb // 83 kg,88,10,12,28,12,14
727,Yellowjacket II,Rita DeMara,No alter egos found.,Marvel Comics,good,Female,Human,5'5 // 165 cm,115 lb // 52 kg,50,10,35,28,31,28
728,Ymir,Ymir,No alter egos found.,Marvel Comics,good,Male,Frost Giant,1000 // 304.8 meters,- lb // 0 kg,50,100,27,100,98,28
729,Yoda,Yoda,No alter egos found.,George Lucas,good,Male,Yoda's species,2'2 // 66 cm,38 lb // 17 kg,88,52,33,25,100,90
730,Zatanna,Zatanna Zatara,No alter egos found.,DC Comics,good,Female,Human,5'7 // 170 cm,127 lb // 57 kg,81,10,23,28,100,56
731,Zoom,Hunter Zolomon,No alter egos found.,DC Comics,bad,Male,null,6'1 // 185 cm,181 lb // 81 kg,50,10,100,28,100,28
